playtime.raw,hit_rate,player_uid,match_uid,attack_type,role,name,hero_id,is_win,kills,deaths,assists,hero_damage,hero_healed,damage_taken
659,0.4406490179333903,2008732032,5514201_1744686784_1292357_11001_12,Projectile,VANGUARD,ItzCHRONOS,1032,0,24,13,5,21029.920248508453,0.0,32510.4639377594
52,0.3773584905660377,2008732032,5514201_1744686784_1292357_11001_12,Projectile,DUELIST,ItzCHRONOS,1032,0,24,13,5,21029.920248508453,0.0,32510.4639377594
339,0.429951690821256,1214183287,5514201_1744686784_1292357_11001_12,Projectile,VANGUARD,Blêâch,1039,0,31,12,5,25454.596665382385,0.0,38316.61503553391
341,0.3930635838150289,1214183287,5514201_1744686784_1292357_11001_12,Melee,VANGUARD,Blêâch,1039,0,31,12,5,25454.596665382385,0.0,38316.61503553391
248,0.4037267080745341,1281281635,5514201_1744686784_1292357_11001_12,Projectile,VANGUARD,Miami LeBron,1021,0,35,12,4,22111.18255805969,3003.415538787842,17440.91710472107
103,0.8653846153846154,1281281635,5514201_1744686784_1292357_11001_12,Projectile,STRATEGIST,Miami LeBron,1021,0,35,12,4,22111.18255805969,3003.415538787842,17440.91710472107
13,0.0,1281281635,5514201_1744686784_1292357_11001_12,Projectile,VANGUARD,Miami LeBron,1021,0,35,12,4,22111.18255805969,3003.415538787842,17440.91710472107
466,0.279383429672447,1281281635,5514201_1744686784_1292357_11001_12,Projectile,DUELIST,Miami LeBron,1021,0,35,12,4,22111.18255805969,3003.415538787842,17440.91710472107
60,0.2105263157894736,1281281635,5514201_1744686784_1292357_11001_12,Hitscan,STRATEGIST,Miami LeBron,1021,0,35,12,4,22111.18255805969,3003.415538787842,17440.91710472107
37,0.2564102564102564,1281281635,5514201_1744686784_1292357_11001_12,Melee,DUELIST,Miami LeBron,1021,0,35,12,4,22111.18255805969,3003.415538787842,17440.91710472107
47,0.16,1281281635,5514201_1744686784_1292357_11001_12,Projectile,DUELIST,Miami LeBron,1021,0,35,12,4,22111.18255805969,3003.415538787842,17440.91710472107
156,0.359375,695598247,5514201_1744686784_1292357_11001_12,Projectile,DUELIST,F00said,1025,0,12,19,24,13682.568422317505,20852.686103224754,15513.116114616394
477,0.4616368286445013,695598247,5514201_1744686784_1292357_11001_12,Hitscan,STRATEGIST,F00said,1025,0,12,19,24,13682.568422317505,20852.686103224754,15513.116114616394
246,0.572972972972973,695598247,5514201_1744686784_1292357_11001_12,Melee,STRATEGIST,F00said,1025,0,12,19,24,13682.568422317505,20852.686103224754,15513.116114616394
96,0.8461538461538461,695598247,5514201_1744686784_1292357_11001_12,Projectile,STRATEGIST,F00said,1025,0,12,19,24,13682.568422317505,20852.686103224754,15513.116114616394
974,0.4620253164556962,646009063,5514201_1744686784_1292357_11001_12,Hitscan,DUELIST,ForgetAboutMe,1024,0,44,11,0,30343.172703266144,0.0,12861.256888389587
974,0.1141304347826086,1296587010,5514201_1744686784_1292357_11001_12,Projectile,STRATEGIST,Lissakitten,1023,0,3,8,37,782.0266289710999,33419.48686504364,7659.97622013092
1059,0.2584629460201281,1512586906,5517602_1744662520_1290198_11001_11,Projectile,STRATEGIST,Ms Kobayashi,1023,1,19,2,29,6316.721982002258,43900.843665122986,12033.91083240509
1059,0.8676328502415459,1306734986,5517602_1744662520_1290198_11001_11,Projectile,STRATEGIST,clu3inc,1025,1,22,10,38,16157.610797405245,42034.23669052124,19006.216301441196
437,0.5851851851851851,124588384,5517602_1744662520_1290198_11001_11,Projectile,VANGUARD,AceOfWake,1037,1,16,5,7,22654.73407316208,0.0,57984.84781289101
371,0.3986111111111111,124588384,5517602_1744662520_1290198_11001_11,Projectile,VANGUARD,AceOfWake,1037,1,16,5,7,22654.73407316208,0.0,57984.84781289101
710,0.4710144927536231,717792330,5517602_1744662520_1290198_11001_11,Projectile,DUELIST,Chorizosito,1041,1,40,13,11,25953.28798866272,0.0,20259.40454006195
346,0.5754716981132075,717792330,5517602_1744662520_1290198_11001_11,Melee,DUELIST,Chorizosito,1041,1,40,13,11,25953.28798866272,0.0,20259.40454006195
4,0.0,717792330,5517602_1744662520_1290198_11001_11,Melee,DUELIST,Chorizosito,1041,1,40,13,11,25953.28798866272,0.0,20259.40454006195
211,0.3039092055485498,1043835040,5517602_1744662520_1290198_11001_11,Hitscan,DUELIST,Jadezkie,1050,1,19,8,18,19623.31925344467,22007.3798866272,28677.43728852272
138,0.4782608695652174,1043835040,5517602_1744662520_1290198_11001_11,Melee,DUELIST,Jadezkie,1050,1,19,8,18,19623.31925344467,22007.3798866272,28677.43728852272
710,0.4179456906729634,1043835040,5517602_1744662520_1290198_11001_11,Melee,STRATEGIST,Jadezkie,1050,1,19,8,18,19623.31925344467,22007.3798866272,28677.43728852272
273,0.271505376344086,1678074945,5517602_1744662520_1290198_11001_11,Projectile,VANGUARD,Drunkllizard,1051,1,27,12,6,26890.03084421158,354.87255859375,56681.14823842049
162,0.3465674110835401,1050874731,5517602_1744662520_1290198_11001_11,Hitscan,DUELIST,⁴4₄,1032,0,29,8,10,48712.12130093575,0.0,10663.30488729477
898,0.3863636363636363,1050874731,5517602_1744662520_1290198_11001_11,Projectile,DUELIST,⁴4₄,1032,0,29,8,10,48712.12130093575,0.0,10663.30488729477
1059,0.5059523809523809,2028390480,5517602_1744662520_1290198_11001_11,Projectile,STRATEGIST,Eliseoooxdd,1016,0,20,10,27,17918.88730931282,33391.26933217049,14184.275891304016
1059,0.5827464788732394,329553757,5517602_1744662520_1290198_11001_11,Projectile,VANGUARD,PincheSpooky,1037,0,28,8,6,25465.43670845032,0.0,46138.41538619995
508,0.4469453376205787,2105968231,5517602_1744662520_1290198_11001_11,Melee,VANGUARD,HltIwr,1042,0,18,9,2,27896.180208206177,585.5407104492188,40076.32971572876
437,0.3982169390787518,2105968231,5517602_1744662520_1290198_11001_11,Projectile,VANGUARD,HltIwr,1042,0,18,9,2,27896.180208206177,585.5407104492188,40076.32971572876
183,0.2834645669291338,176810485,5517602_1744662520_1290198_11001_11,Projectile,STRATEGIST,Steven Stones,1050,0,22,8,31,18179.810611963272,41877.40740585327,19496.15820121765
876,0.5539160045402951,176810485,5517602_1744662520_1290198_11001_11,Melee,STRATEGIST,Steven Stones,1050,0,22,8,31,18179.810611963272,41877.40740585327,19496.15820121765
623,0.5892857142857143,1182755297,5517602_1744662520_1290198_11001_11,Projectile,DUELIST,spockyy,1014,0,24,16,0,29087.2927441597,0.0,9134.016108512878
437,0.3626373626373626,1182755297,5517602_1744662520_1290198_11001_11,Hitscan,DUELIST,spockyy,1014,0,24,16,0,29087.2927441597,0.0,9134.016108512878
390,0.3980582524271844,191394795,5513428_1744584249_1287070_11001_12,Melee,DUELIST,FifthGearGod,1052,1,13,5,0,6767.234955787659,141.21038818359375,4603.117470741272
188,0.4444444444444444,543375134,5513428_1744584249_1287070_11001_12,Melee,VANGUARD,R3EANIM8,1039,1,18,3,3,8272.016017615795,0.0,12994.25253200531
390,0.4186046511627907,2009199930,5513428_1744584249_1287070_11001_12,Melee,DUELIST,Nexto_,1029,1,12,3,0,6909.722143173218,0.0,3765.7162504196167
390,0.5054945054945055,66408074,5513428_1744584249_1287070_11001_12,Melee,DUELIST,kui>_<,1040,1,13,2,2,9163.578006744385,0.0,12934.62698984146
390,0.2195121951219512,245137257,5513428_1744584249_1287070_11001_12,Projectile,STRATEGIST,jatin233,1023,1,3,1,20,775.131251335144,14163.835008859634,1968.917590618133
355,0.4444444444444444,89108561,5513428_1744584249_1287070_11001_12,Melee,DUELIST,flame.,1036,0,0,1,0,445.5,0.0,410.0
156,0.1392405063291139,1306734986,5513428_1744584249_1287070_11001_12,Projectile,STRATEGIST,clu3inc,1052,0,6,7,1,4381.591619491577,3501.5400714874268,5418.278279304504
234,0.3289473684210526,1306734986,5513428_1744584249_1287070_11001_12,Melee,DUELIST,clu3inc,1052,0,6,7,1,4381.591619491577,3501.5400714874268,5418.278279304504
117,0.2004504504504504,124588384,5513428_1744584249_1287070_11001_12,Hitscan,DUELIST,AceOfWake,1051,0,8,5,0,5395.121298789978,0.0,10103.368740558624
390,0.463519313304721,1370714554,5513428_1744584249_1287070_11001_12,Melee,STRATEGIST,hypegum,1050,0,3,5,6,3086.9000000953674,5165.446290493012,4619.4903564453125
277,0.4285714285714285,5393686,5513428_1744584249_1287070_11001_12,Melee,DUELIST,Noobking4566,1036,1,7,0,1,3124.2213306427,0.0,1210.3774237632751
234,0.6310160427807486,834799374,5513428_1744584249_1287070_11001_12,Projectile,STRATEGIST,HeWhoMuckBarn,1016,0,6,2,8,3385.564911842346,7617.589786529541,1851.311260223389
428,0.259860788863109,984832776,5513253_1745109951_1290157_11001_12,Projectile,DUELIST,Toy-bear,1034,0,18,10,2,19940.43884706497,0.0,5890.184109210968
63,0.268733850129199,984832776,5513253_1745109951_1290157_11001_12,Hitscan,DUELIST,Toy-bear,1034,0,18,10,2,19940.43884706497,0.0,5890.184109210968
132,0.2980769230769231,984832776,5513253_1745109951_1290157_11001_12,Projectile,DUELIST,Toy-bear,1034,0,18,10,2,19940.43884706497,0.0,5890.184109210968
151,0.5945945945945946,984832776,5513253_1745109951_1290157_11001_12,Projectile,DUELIST,Toy-bear,1034,0,18,10,2,19940.43884706497,0.0,5890.184109210968
491,0.4190620272314674,891909767,5513253_1745109951_1290157_11001_12,Projectile,STRATEGIST,ShaoKahn157,1025,0,7,9,17,6053.577508449554,24899.600704312325,9242.282499790192
282,0.797945205479452,891909767,5513253_1745109951_1290157_11001_12,Projectile,STRATEGIST,ShaoKahn157,1025,0,7,9,17,6053.577508449554,24899.600704312325,9242.282499790192
164,0.4772727272727273,1610666108,5513253_1745109951_1290157_11001_12,Melee,DUELIST,Ðuckô,1029,0,14,11,0,17528.681898593903,0.0,13125.212423086166
609,0.4826539462272333,1610666108,5513253_1745109951_1290157_11001_12,Melee,DUELIST,Ðuckô,1029,0,14,11,0,17528.681898593903,0.0,13125.212423086166
491,0.2071005917159763,1660614077,5513253_1745109951_1290157_11001_12,Melee,VANGUARD,Point Guard,1023,0,8,6,6,9685.54900932312,12910.605362653732,35204.65141201019
282,0.0,1660614077,5513253_1745109951_1290157_11001_12,Projectile,STRATEGIST,Point Guard,1023,0,8,6,6,9685.54900932312,12910.605362653732,35204.65141201019
491,0.124401913875598,1235308968,5513253_1745109951_1290157_11001_12,Projectile,STRATEGIST,Int3rGalactic,1018,0,5,5,13,4617.053912639618,17703.72856283188,22329.816066741943
